id,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,street,neighbourhood,latitude,longitude,PropertyType,RoomType,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,has_availability
54453,,0,1,1,"New York, NY, United States",Manhattan,40.76548,-73.98474,Apartment,Shared room,1,1,1,1,Futon,105,1,0,6,1
54466,,0,1,1,"New York, NY, United States",Brooklyn,40.80234,-73.95603,Apartment,Private room,2,1,1,1,Real Bed,200,2,50,30,1
57166,1,0,15,0,"Astoria, NY, United States",Brooklyn,40.77185,-73.90502,Apartment,Entire home/apt,4,1,1,2,Real Bed,140,2,30,2,1
57740,1,0,1,1,"New York, NY, United States",Manhattan,40.73012,-73.99053,Apartment,Entire home/apt,2,1,1,1,Real Bed,239,1,0,3,1
59121,0.9,0,5,1,"Queens, NY, United States",Manhattan,40.70411,-73.89934,Apartment,Entire home/apt,9,1,3,1,Real Bed,140,3,15,14,1
59709,0.9,0,2,1,"New York, NY, United States",Brooklyn,40.71756,-73.99503,Apartment,Entire home/apt,5,1,2,3,Real Bed,250,1,0,4,1
60457,0.88,0,1,1,"New York, NY, United States",Queens,40.73194,-73.99474,Apartment,Entire home/apt,3,1,1,1,Real Bed,225,2,25,5,1
60673,1,0,1,0,"New York, NY, United States",Brooklyn,40.81583,-73.94707,Apartment,Private room,1,1,1,1,Airbed,175,2,0,2,1
60794,,0,1,1,"New York, NY, United States",Brooklyn,40.80021,-73.96071,Apartment,Entire home/apt,6,1,3,3,Real Bed,195,2,25,4,1
61406,0.9,0,2,0,"New York, NY, United States",Brooklyn,40.80335,-73.9575,Apartment,Private room,1,1.5,1,1,Real Bed,80,1,0,14,1
63573,,0,2,1,"Brooklyn, NY, United States",Brooklyn,40.66793,-73.98327,Apartment,Private room,2,2,1,1,Real Bed,60,1,0,14,1
63588,1,0,7,1,"Bronx, NY, United States",Manhattan,40.81309,-73.85514,House,Private room,3,1,1,2,Real Bed,90,2,20,2,1
63913,1,1,1,1,"New York, NY, United States",Brooklyn,40.86648,-73.9263,Apartment,Private room,2,1,1,2,Real Bed,75,1,8,7,1
64000,1,0,5,0,"Brooklyn, NY, United States",Brooklyn,40.7069,-73.95467,Apartment,Private room,1,1,1,3,Real Bed,60,1,40,17,1
64015,,0,1,0,"New York, NY, United States",Manhattan,40.72807,-73.98594,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,1,0,3,1
64277,1,0,4,0,"Brooklyn, NY, United States",Brooklyn,40.68317,-73.94701,Apartment,Private room,2,1,1,1,Real Bed,70,1,7,4,1
64707,1,0,1,0,"New York, NY, United States",Manhattan,40.71702,-73.99811,Apartment,Entire home/apt,2,1,1,2,Real Bed,90,2,30,14,1
65556,,0,1,0,"Brooklyn, NY, United States",Manhattan,40.71368,-73.9626,Apartment,Private room,1,1,1,1,Real Bed,60,1,30,3,1
65562,1,0,1,0,"New York, NY, United States",Brooklyn,40.72956,-73.98158,Apartment,Entire home/apt,3,1,2,2,Real Bed,129,2,25,7,1
65813,1,0,1,0,"New York, NY, United States",Manhattan,40.82888,-73.94307,Apartment,Private room,1,1,1,1,Real Bed,75,1,0,3,1
65834,1,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.67319,-73.97323,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,1,0,2,1
66026,0.69,0,11,1,"Brooklyn, NY, United States",Manhattan,40.6715,-73.94808,Apartment,Private room,2,1,1,1,Real Bed,49,1,12,21,1
66451,0.5,0,0,1,"Brooklyn, NY, United States",Manhattan,40.71031,-73.9583,Apartment,Entire home/apt,2,1,1,1,Real Bed,140,2,80,2,1
68900,0.5,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.73119,-73.95578,Apartment,Private room,2,1,1,1,Real Bed,125,2,0,3,1
71812,1,0,2,0,"Bronx, NY, United States",Brooklyn,40.87207,-73.90193,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,1,0,30,1
74860,,0,1,0,"Brooklyn, NY, United States",Manhattan,40.72488,-73.95018,Apartment,Private room,2,1,2,1,Real Bed,55,1,0,2,1
78919,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.68674,-73.98876,House,Entire home/apt,4,2.5,2,2,Real Bed,135,2,35,4,1
79067,1,0,1,1,"Brooklyn, NY, United States",Manhattan,40.6848,-73.96219,Townhouse,Entire home/apt,5,2.5,3,4,Real Bed,350,5,50,6,1
80684,1,0,28,1,"Brooklyn, NY, United States",Brooklyn,40.73776,-73.95327,Boutique hotel,Private room,4,1,1,2,Real Bed,349,2,25,3,1
80700,1,0,28,1,"Brooklyn, NY, United States",Manhattan,40.73738,-73.95482,Boutique hotel,Private room,4,1,1,2,Real Bed,349,2,0,3,1
81739,1,0,28,1,"Brooklyn, NY, United States",Manhattan,40.73842,-73.95312,Boutique hotel,Private room,4,1,1,2,Real Bed,249,2,25,3,1
83722,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.7205,-73.96015,Condominium,Entire home/apt,4,2,2,3,Real Bed,199,1,0,30,1
84010,1,0,28,1,"Brooklyn, NY, United States",Manhattan,40.73813,-73.95394,Boutique hotel,Private room,2,1,1,1,Real Bed,179,4,0,3,1
84059,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.67591,-73.94715,Apartment,Entire home/apt,6,1.5,3,3,Real Bed,150,5,50,5,1
85094,0.69,0,11,1,"Brooklyn, NY, United States",Brooklyn,40.66966,-73.94735,Apartment,Entire home/apt,4,1,1,1,Real Bed,79,1,10,15,1
95747,0.67,0,1,1,"Brooklyn, NY, United States",Manhattan,40.71055,-73.95098,Apartment,Entire home/apt,2,1,1,1,Real Bed,140,1,10,7,1
95883,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.69465,-73.95458,Loft,Entire home/apt,6,1,2,4,Real Bed,200,4,20,5,1
96471,1,1,4,1,"Brooklyn, NY, United States",Queens,40.68413,-73.96542,Condominium,Private room,5,1.5,1,3,Real Bed,165,2,40,4,1
98330,1,0,3,1,"New York, NY, United States",Brooklyn,40.73877,-73.97707,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,0,4,1
98663,1,0,1,0,"New York, NY, United States",Manhattan,40.74893,-73.99544,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,2,25,30,1
105469,0.8,0,1,0,"Rockaway Beach, NY, United States",Brooklyn,40.58615,-73.81245,Apartment,Private room,1,1,1,1,Real Bed,70,1,0,27,1
105510,0.69,0,11,1,"Brooklyn, NY, United States",Manhattan,40.67086,-73.94872,Apartment,Entire home/apt,4,1,1,1,Real Bed,100,1,10,30,1
112100,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.67539,-73.96093,Apartment,Entire home/apt,6,1,3,4,Real Bed,165,1,0,7,1
112304,,0,1,1,"New York, NY, United States",Brooklyn,40.8054,-73.95189,Apartment,Private room,2,1,1,1,Real Bed,90,1,0,1,1
118680,,0,1,1,"New York, NY, United States",Manhattan,40.73067,-73.98702,Apartment,Private room,2,1,1,1,Real Bed,87,1,0,2,1
126816,,0,1,1,"New York, NY, United States",Brooklyn,40.79918,-73.96607,Apartment,Private room,1,2,1,1,Real Bed,85,1,75,1,1
132695,,0,1,0,"Brooklyn, NY, United States",Brooklyn,40.71109,-73.94332,Apartment,Entire home/apt,2,1,2,1,Real Bed,125,2,0,2,1
136493,1,0,1,1,"Brooklyn, NY, United States",Manhattan,40.67632,-73.97616,House,Entire home/apt,5,3,3,3,Real Bed,250,3,15,7,1
138216,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.72212,-73.94254,Apartment,Entire home/apt,3,1,1,2,Real Bed,141,2,20,5,1
141890,,0,1,0,"New York, NY, United States",Brooklyn,40.72255,-73.99346,Apartment,Entire home/apt,4,1,2,2,Real Bed,375,1,0,3,1
145064,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.71943,-73.9565,Apartment,Entire home/apt,3,1,1,2,Real Bed,145,2,30,7,1
145188,,0,1,0,"New York, NY, United States",Brooklyn,40.74249,-74.00329,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,1,0,4,1
145994,1,0,1,1,"New York, NY, United States",Brooklyn,40.79264,-73.97294,Apartment,Entire home/apt,3,1,2,2,Real Bed,95,1,0,5,1
148201,,0,1,0,"New York, NY, United States",Brooklyn,40.72831,-74.00177,Apartment,Entire home/apt,4,1,1,1,Real Bed,175,2,40,3,1
149287,,0,1,0,"New York, NY, United States",Brooklyn,40.78508,-73.95332,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,1,0,4,1
150804,1,0,1,1,"New York, NY, United States",Brooklyn,40.72008,-73.98404,Apartment,Entire home/apt,4,1,3,3,Real Bed,250,1,0,4,1
151478,0.9,1,4,1,"Brooklyn, NY, United States",Manhattan,40.7102,-73.94495,Apartment,Private room,2,1,1,1,Real Bed,98,1,25,2,1
152071,,0,1,0,"Brooklyn, NY, United States",Manhattan,40.67359,-73.97904,Apartment,Entire home/apt,2,1,1,1,Futon,150,2,50,2,1
158913,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.72489,-73.95494,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,2,50,5,1
160609,,0,1,0,"New York, NY, United States",Brooklyn,40.77724,-73.98109,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,1,0,3,1
161394,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.71309,-73.94128,Apartment,Private room,1,1,1,1,Real Bed,90,1,0,6,1
165080,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.6809,-73.99233,House,Entire home/apt,10,2.5,4,5,Real Bed,500,6,50,7,1
166983,,0,1,1,"Brooklyn, NY, United States",Manhattan,40.68252,-73.99619,Apartment,Entire home/apt,6,2,3,4,Real Bed,350,4,75,5,1
167013,1,1,2,1,"New York, NY, United States",Manhattan,40.74342,-73.99483,Apartment,Entire home/apt,2,1,1,1,Real Bed,205,1,0,9,1
167017,,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.67853,-73.98089,House,Entire home/apt,4,2,2,4,Real Bed,219,1,0,5,1
167222,0.92,0,5,1,"Brooklyn, NY, United States",Brooklyn,40.6788,-73.97643,Bed and breakfast,Private room,2,3,1,4,Real Bed,60,2,25,1,1
168546,,0,2,1,"New York, NY, United States",Brooklyn,40.80113,-73.94503,Condominium,Entire home/apt,6,2.5,2,4,Real Bed,250,2,40,2,1
169483,1,1,2,0,"Brooklyn, NY, United States",Brooklyn,40.60452,-73.97103,Apartment,Entire home/apt,4,1,1,1,Real Bed,106,1,15,7,1
170420,,0,1,0,"New York, NY, United States",Manhattan,40.7932,-73.94007,Apartment,Entire home/apt,2,1,1,1,Airbed,79,1,30,2,1
171776,,0,2,1,"New York, NY, United States",Brooklyn,40.80224,-73.94558,Apartment,Private room,2,1.5,1,1,Real Bed,170,2,25,2,1
174527,0.63,0,1,0,"Brooklyn, NY, United States",Manhattan,40.69055,-73.92357,Apartment,Entire home/apt,4,1,2,1,Real Bed,150,4,0,2,1
177421,1,1,2,0,"Brooklyn, NY, United States",Brooklyn,40.72315,-73.95226,House,Entire home/apt,6,2,3,4,Real Bed,500,4,50,2,1
177495,1,0,1,0,"New York, NY, United States",Manhattan,40.73939,-73.99612,Condominium,Entire home/apt,4,1.5,2,2,Real Bed,429,2,0,10,1
179741,1,0,3,1,"New York, NY, United States",Brooklyn,40.72133,-73.99666,Apartment,Entire home/apt,6,1,2,3,Real Bed,300,1,50,1,1
187488,,0,0,1,"New York, NY, United States",Manhattan,40.73712,-74.00166,Apartment,Private room,1,1,1,1,Real Bed,100,1,45,30,1
187986,,0,1,1,"New York, NY, United States",Manhattan,40.73862,-73.99758,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,250,4,25,1,1
188146,1,0,1,1,"Brooklyn, NY, United States",Brooklyn,40.7158,-73.95803,Apartment,Entire home/apt,4,1,3,3,Real Bed,350,1,0,6,1
189181,,0,1,1,"New York, NY, United States",Manhattan,40.74695,-74.00454,Condominium,Private room,2,1,1,2,Real Bed,255,1,100,4,1
